condition,run,source_file,input_definition,segment,sample_count,MAE_mA,mean_error_mA,median_error_mA,positive_error_ratio
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,occupancy,inter_burst,1555553,5.0574859843102375,5.052427952650753,5.096945999999839,0.9991803557962988
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,pulse,burst,444447,20.31607103840277,20.315475999598217,20.799334774510108,0.9995567525486728
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,pulse,final_idle,1000001,1.155145180088836,0.45301351953465263,0.610546000000177,0.5438534561465439
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,pulse,idle_all,2000000,1.1382579836290088,0.392385096403087,0.6105460000000065,0.524154
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,pulse,initial_idle,999999,1.1213707533947543,0.33175655201455384,0.6105460000000065,0.5044545044545045
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,pulse,inter_burst,1555553,1.3088546438674344,0.6943900887564446,0.610546000000177,0.5920910441495725
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,occupancy,burst,444486,4.894490077151023,4.889696942345213,5.096945999999839,0.9991698276211174
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,occupancy,final_idle,1000001,1.190638361130524,0.5782023731534706,0.610546000000177,0.584027415972584
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,occupancy,idle_all,2000001,1.1646252409798226,0.4799831490083482,0.6105460000000065,0.5524122237938881
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,occupancy,initial_idle,1000000,1.1386120948160001,0.38176382664400194,0.6105460000000065,0.520797
